Vendor|CardName|PointsValueCpp|slug-id|ImageURL|MinCreditScore|MaxCreditScore|ApplicationLink
Discover|Discover it Chrome|N/A|discover-it-chrome|/static/images/credit_cards/discover-it-chrome.PNG|670|850|https://www.discovercard.com/application/website/apply?srcCde=GJVR&ICMPGN=ALL_CC_GAS_AND_RESTAURANT_APPLY_NOW_BTN&adobe_mc=TS%3D1766584021%7CMCMID%3D40131467919366069464125905580679585796%7CMCORGID%3D0D6C4673527839230A490D45%2540AdobeOrg
Discover|Discover it Secured Credit Card|N/A|discover-it-secured-credit-card|/static/images/credit_cards/discover-it-secured-credit-card.PNG|300|579|https://www.discovercard.com/application/website/apply?srcCde=KXPA&ICMPGN=ALL_CC_SECURED_APPLY_NOW_BTN&adobe_mc=TS%3D1766584021%7CMCMID%3D40131467919366069464125905580679585796%7CMCORGID%3D0D6C4673527839230A490D45%2540AdobeOrg
Discover|Discover it Student Cash Back|N/A|discover-it-student-cash-back|/static/images/credit_cards/discover-it-student-cash-back.JPG|580|669|https://www.discovercard.com/application/website/apply?srcCde=RJQX&ICMPGN=ALL_CC_STUDENT_CB_APPLY_NOW_BTN&adobe_mc=TS%3D1766584021%7CMCMID%3D40131467919366069464125905580679585796%7CMCORGID%3D0D6C4673527839230A490D45%2540AdobeOrg
Discover|Discover it Student Chrome|N/A|discover-it-student-chrome|/static/images/credit_cards/discover-it-student-chrome.PNG|580|669|https://www.discovercard.com/application/website/apply?srcCde=RJRM&ICMPGN=ALL_CC_STUDENT_CHROME_APPLY_NOW_BTN&adobe_mc=TS%3D1766584021%7CMCMID%3D40131467919366069464125905580679585796%7CMCORGID%3D0D6C4673527839230A490D45%2540AdobeOrg
Goldman Sachs|Apple Card|N/A|apple-card|/static/images/credit_cards/apple-card.PNG|670|850|https://card.apple.com/apply/application?referrer=cid%3Dapy-200-10000036&start=false
PenFed|PenFed Power Cash Rewards Visa Signature Card|N/A|penfed-power-cash-rewards-visa-signature-card|/static/images/credit_cards/penfed-power-cash-rewards-visa-signature-card.JPG|670|850|https://www.penfed.org/content/penfed/en/penfedroot/credit-cards/power-cash-rewards-visa.html
PenFed|PenFed Pathfinder Rewards Visa Signature Card|1.0|penfed-pathfinder-rewards-visa-signature-card|/static/images/credit_cards/penfed-pathfinder-rewards-visa-signature-card.JPG|670|850|https://www.penfed.org/content/penfed/en/penfedroot/credit-cards/pathfinder-rewards-visa.html
PNC|PNC Core Visa Credit Card|N/A|pnc-core-visa-credit-card|/static/images/credit_cards/pnc-core-visa-credit-card.JPG|670|850|https://lending.pnc.com/ccsw/getting-started?promoCode=base
PNC|PNC Premier Traveler Visa Signature Credit Card|1.0|pnc-premier-traveler-visa-signature-credit-card|/static/images/credit_cards/pnc-premier-traveler-visa-signature-credit-card.PNG|670|850|https://www.pnc.com/en/personal-banking/banking/credit-cards/pnc-premier-traveler-visa-signature-credit-card.html
PNC|PNC Cash Rewards Visa Credit Card|N/A|pnc-cash-rewards-visa-credit-card|/static/images/credit_cards/pnc-cash-rewards-visa-credit-card.PNG|670|850|https://lending.pnc.com/cccr/getting-started?promoCode=base
